market_id,event_id,event_start_time_utc,home_team_name,away_team_name,snapshots_total,snapshots_pre_match,snapshots_in_match,snapshots_end_window,first_snapshot_at,last_snapshot_at,last_pre_match_snapshot_at,last_pre_match_gap_min,final_snapshot_at,final_snapshot_t_from_kickoff_min,has_pre_match,has_end_window,has_closed_status,coverage_flag
1.253482666,35214768,2026-02-07T23:30:00+00:00,Sao Paulo,Esporte Clube Primavera,2,0,2,0,2026-02-07 23:36:40.384450+00:00,2026-02-07 23:51:40.765797+00:00,,,2026-02-07 23:51:40.765797+00:00,21.67942995,False,False,False,FAIL
1.253501462,35217377,2026-02-06T17:00:00+00:00,Korona Kielce,Zaglebie Lubin,15,0,15,0,2026-02-06 17:45:28.074575+00:00,2026-02-06 17:59:32.974711+00:00,,,2026-02-06 17:59:32.974711+00:00,59.549578516666664,False,False,False,FAIL
1.253505563,35217565,2026-02-07T17:00:00+00:00,Slavia Prague,Mlada Boleslav,3,0,3,0,2026-02-07 17:21:29.886664+00:00,2026-02-07 17:51:30.815016+00:00,,,2026-02-07 17:51:30.815016+00:00,51.5135836,False,False,False,FAIL
1.253509124,35217676,2026-02-06T23:00:00+00:00,Audax Italiano,Univ de Concepcion,60,0,60,0,2026-02-06 23:00:11.571580+00:00,2026-02-06 23:59:29.947679+00:00,,,2026-02-06 23:59:29.947679+00:00,59.49912798333333,False,False,False,FAIL
1.253513553,35217916,2026-02-06T21:45:00+00:00,Puebla FC (W),Santos Laguna (W),44,0,44,0,2026-02-06 22:00:52.265534+00:00,2026-02-06 22:44:06.649126+00:00,,,2026-02-06 22:44:06.649126+00:00,59.11081876666666,False,False,False,FAIL
1.253513732,35217937,2026-02-06T21:00:00+00:00,Magallanes,Club Deportes Santa Cruz,59,0,59,0,2026-02-06 21:01:34.201474+00:00,2026-02-06 21:59:51.941505+00:00,,,2026-02-06 21:59:51.941505+00:00,59.865691749999996,False,False,False,FAIL
1.253514737,35218088,2026-02-06T23:20:00+00:00,Deportivo Pasto,Atletico Bucaramanga,80,20,60,0,2026-02-06 23:00:11.571580+00:00,2026-02-07 00:19:36.644811+00:00,2026-02-06 23:19:17.592885+00:00,0.7067852499999999,2026-02-07 00:19:36.644811+00:00,59.610746850000005,True,False,False,FAIL
1.253520924,35218541,2026-02-07T02:00:00+00:00,AD Municipal Liberia,Puntarenas F.C.,30,0,30,0,2026-02-07 02:30:19.093904+00:00,2026-02-07 02:59:27.992532+00:00,,,2026-02-07 02:59:27.992532+00:00,59.466542200000006,False,False,False,FAIL
1.253524155,35215487,2026-02-07T08:30:00+00:00,Melbourne Victory (W),Newcastle Jets (W),90,30,60,0,2026-02-07 08:00:08.475017+00:00,2026-02-07 09:29:38.389545+00:00,2026-02-07 08:29:18.276773+00:00,0.6953871166666666,2026-02-07 09:29:38.389545+00:00,59.63982575,True,False,False,FAIL
1.253538005,35219998,2026-02-07T08:30:00+00:00,Bhayangkara FC,Pusamania Borneo FC,90,30,60,0,2026-02-07 08:00:08.475017+00:00,2026-02-07 09:29:38.389545+00:00,2026-02-07 08:29:18.276773+00:00,0.6953871166666666,2026-02-07 09:29:38.389545+00:00,59.63982575,True,False,False,FAIL
1.253540190,35220115,2026-02-06T15:00:57+00:00,Al-Ettifaq,Dhamk,1,0,1,0,2026-02-06 16:00:47.671389+00:00,2026-02-06 16:00:47.671389+00:00,,,2026-02-06 16:00:47.671389+00:00,59.84452315,False,False,False,FAIL
1.253547566,35220553,2026-02-06T23:30:00+00:00,Academia Anzoategui FC,Rayo Zuliano,10,0,10,0,2026-02-07 00:20:37.018507+00:00,2026-02-07 00:29:40.243799+00:00,,,2026-02-07 00:29:40.243799+00:00,59.67072998333333,False,False,False,FAIL
1.253551924,35221332,2026-02-07T01:00:00+00:00,Malacateco,CSD Municipal,59,0,59,0,2026-02-07 01:00:50.749258+00:00,2026-02-07 01:59:09.214999+00:00,,,2026-02-07 01:59:09.214999+00:00,59.15358331666666,False,False,False,FAIL
1.253553975,35221718,2026-02-06T21:30:00+00:00,Sportivo San Lorenzo,Deportivo Recoleta,74,15,59,0,2026-02-06 21:15:38.470460+00:00,2026-02-06 22:29:01.328326+00:00,2026-02-06 21:29:42.677765+00:00,0.28870391666666667,2026-02-06 22:29:01.328326+00:00,59.022138766666664,True,False,False,FAIL
1.253555519,35221788,2026-02-06T23:30:00+00:00,Sportivo Luqueno,Club Sportivo Ameliano,30,0,30,0,2026-02-07 00:00:30.258941+00:00,2026-02-07 00:29:40.243799+00:00,,,2026-02-07 00:29:40.243799+00:00,59.67072998333333,False,False,False,FAIL
1.253579636,35223111,2026-02-07T16:00:00+00:00,Petro Luanda,Simba,4,0,4,0,2026-02-07 16:15:15.221764+00:00,2026-02-07 16:51:29.046594+00:00,,,2026-02-07 16:51:29.046594+00:00,51.4841099,False,False,False,FAIL
1.253585449,35223694,2026-02-06T12:30:00+00:00,La Viena FC,Aswan FC,15,0,15,0,2026-02-06 13:15:46.611767+00:00,2026-02-06 13:29:51.531669+00:00,,,2026-02-06 13:29:51.531669+00:00,59.85886115,False,False,False,FAIL
1.253588803,35225386,2026-02-07T01:30:00+00:00,Ind Medellin,Internacional de Bogotá,24,0,24,0,2026-02-07 02:06:11.478286+00:00,2026-02-07 02:29:18.790996+00:00,,,2026-02-07 02:29:18.790996+00:00,59.31318326666667,False,False,False,FAIL
1.253608901,35227205,2026-02-06T15:30:00+00:00,AF Elbasani,KS Teuta Durres,30,0,30,0,2026-02-06 16:00:47.671389+00:00,2026-02-06 16:29:58.817919+00:00,,,2026-02-06 16:29:58.817919+00:00,59.98029865,False,False,False,FAIL
1.253609006,35227096,2026-02-06T18:00:00+00:00,KS Flamurtari Vlore,Egnatia Rrogozhine,30,0,30,0,2026-02-06 18:30:43.710601+00:00,2026-02-06 18:59:53.283473+00:00,,,2026-02-06 18:59:53.283473+00:00,59.88805788333333,False,False,False,FAIL
1.253627485,35229824,2026-02-06T12:30:00+00:00,Baladeyet Al-Mahalla,Dayrout,28,0,28,0,2026-02-06 13:02:42.348360+00:00,2026-02-06 13:29:51.531669+00:00,,,2026-02-06 13:29:51.531669+00:00,59.85886115,False,False,False,FAIL
1.253628579,35230040,2026-02-07T02:00:00+00:00,Monterrey (W),Club Tijuana (W),30,0,30,0,2026-02-07 02:30:19.093904+00:00,2026-02-07 02:59:27.992532+00:00,,,2026-02-07 02:59:27.992532+00:00,59.466542200000006,False,False,False,FAIL
1.253630771,35230097,2026-02-07T01:06:00+00:00,Pachuca (W),Mazatlan FC(W),6,0,6,0,2026-02-07 02:00:09.537750+00:00,2026-02-07 02:05:11.173944+00:00,,,2026-02-07 02:05:11.173944+00:00,59.1862324,False,False,False,FAIL
1.253632148,35230220,2026-02-06T13:25:00+00:00,Al Dhafra,Al-Khaleej Khor Fakkan,10,0,10,0,2026-02-06 14:15:07.681559+00:00,2026-02-06 14:24:11.087225+00:00,,,2026-02-06 14:24:11.087225+00:00,59.18478708333334,False,False,False,FAIL
1.253632239,35230221,2026-02-06T16:00:00+00:00,Al Jazira,Al Ain,29,0,29,0,2026-02-06 16:30:59.200255+00:00,2026-02-06 16:59:11.496276+00:00,,,2026-02-06 16:59:11.496276+00:00,59.1916046,False,False,False,FAIL
1.253633755,35230584,2026-02-07T00:00:00+00:00,La Horquetta Rangers FC,Central FC,30,0,30,0,2026-02-07 00:30:40.609588+00:00,2026-02-07 00:59:50.448784+00:00,,,2026-02-07 00:59:50.448784+00:00,59.84081306666667,False,False,False,FAIL
1.253637019,35230766,2026-02-07T07:00:00+00:00,Cerezo Osaka,G-Osaka,149,90,59,0,2026-02-07 05:30:18.056124+00:00,2026-02-07 07:59:08.086032+00:00,2026-02-07 06:59:47.550844+00:00,0.20748593333333334,2026-02-07 07:59:08.086032+00:00,59.134767200000006,True,False,False,FAIL
1.253637110,35229617,2026-02-07T04:30:00+00:00,FC Tokyo,Kashima,30,0,30,0,2026-02-07 05:00:07.802462+00:00,2026-02-07 05:29:17.739603+00:00,,,2026-02-07 05:29:17.739603+00:00,59.29566005,False,False,False,FAIL
1.253638564,35230135,2026-02-06T11:45:00+00:00,Tanjong Pagar United,Geylang International,51,0,51,0,2026-02-06 11:54:19.649005+00:00,2026-02-06 12:44:36.488899+00:00,,,2026-02-06 12:44:36.488899+00:00,59.608148316666664,False,False,False,FAIL
1.253640717,35229818,2026-02-06T12:02:14+00:00,Arba Minch,Dire Dawa Kima FC,17,0,17,0,2026-02-06 12:45:36.793471+00:00,2026-02-06 13:01:42.009603+00:00,,,2026-02-06 13:01:42.009603+00:00,59.46682671666667,False,False,False,FAIL
1.253640807,35229828,2026-02-06T13:00:43+00:00,Ethiopian Coffee,Welayta Dicha,1,0,1,0,2026-02-06 14:00:01.724931+00:00,2026-02-06 14:00:01.724931+00:00,,,2026-02-06 14:00:01.724931+00:00,59.31208218333334,False,False,False,FAIL
1.253640952,35230175,2026-02-06T12:15:38+00:00,Al Hikma,Safa SC,15,0,15,0,2026-02-06 13:00:41.657738+00:00,2026-02-06 13:14:46.294665+00:00,,,2026-02-06 13:14:46.294665+00:00,59.138244416666666,False,False,False,FAIL
1.253641180,35231036,2026-02-06T11:00:00+00:00,Pamba FC,Coastal Union,7,0,7,0,2026-02-06 11:54:08.556418+00:00,2026-02-06 11:59:21.495264+00:00,,,2026-02-06 11:59:21.495264+00:00,59.3582544,False,False,False,FAIL
1.253641533,35230567,2026-02-06T13:15:00+00:00,Tanzania Prisons,Mashujaa FC,15,0,15,0,2026-02-06 14:00:01.724931+00:00,2026-02-06 14:14:07.326892+00:00,,,2026-02-06 14:14:07.326892+00:00,59.12211486666667,False,False,False,FAIL
1.253642638,35227058,2026-02-06T14:25:00+00:00,Al Shabab,AL Nahdha,25,0,25,0,2026-02-06 15:00:25.006524+00:00,2026-02-06 15:24:34.532926+00:00,,,2026-02-06 15:24:34.532926+00:00,59.575548766666664,False,False,False,FAIL
1.253645820,35230549,2026-02-06T14:35:00+00:00,United FC,Al Hamriyah,10,0,10,0,2026-02-06 15:25:34.956796+00:00,2026-02-06 15:34:38.277149+00:00,,,2026-02-06 15:34:38.277149+00:00,59.637952483333336,False,False,False,FAIL
1.253646796,35231525,2026-02-06T22:00:00+00:00,Tecos FC,Cimarrones de Sonora,30,0,30,0,2026-02-06 22:30:01.726988+00:00,2026-02-06 22:59:11.249812+00:00,,,2026-02-06 22:59:11.249812+00:00,59.18749686666667,False,False,False,FAIL
1.253648164,35231540,2026-02-06T16:00:00+00:00,Mazatlan FC U21,CD Guadalajara U21,15,0,15,0,2026-02-06 16:45:05.499931+00:00,2026-02-06 16:59:11.496276+00:00,,,2026-02-06 16:59:11.496276+00:00,59.1916046,False,False,False,FAIL
1.253648531,35231483,2026-02-06T15:00:00+00:00,Necaxa U21,CA S. Luis U21,15,0,15,0,2026-02-06 15:45:42.197733+00:00,2026-02-06 15:59:47.196825+00:00,,,2026-02-06 15:59:47.196825+00:00,59.78661375,False,False,False,FAIL
1.253648821,35231707,2026-02-07T01:30:00+00:00,San Francisco FC,Atletico Independiente,30,0,30,0,2026-02-07 02:00:09.537750+00:00,2026-02-07 02:29:18.790996+00:00,,,2026-02-07 02:29:18.790996+00:00,59.31318326666667,False,False,False,FAIL
1.253649828,35224736,2026-02-06T13:00:00+00:00,Maccabi Herzliya,Hapoel Kfar Shelem,29,0,29,0,2026-02-06 13:30:51.889476+00:00,2026-02-06 13:59:01.227143+00:00,,,2026-02-06 13:59:01.227143+00:00,59.020452383333335,False,False,False,FAIL
1.253649920,35224387,2026-02-06T13:00:00+00:00,SC Kiryat Yam,Hapoel Kfar Saba,29,0,29,0,2026-02-06 13:30:51.889476+00:00,2026-02-06 13:59:01.227143+00:00,,,2026-02-06 13:59:01.227143+00:00,59.020452383333335,False,False,False,FAIL
1.253650225,35226855,2026-02-06T14:00:00+00:00,RC Arba,WA Tlemcen,35,0,35,0,2026-02-06 14:25:11.450593+00:00,2026-02-06 14:59:24.691277+00:00,,,2026-02-06 14:59:24.691277+00:00,59.41152128333333,False,False,False,FAIL
1.253650322,35226827,2026-02-06T14:00:00+00:00,WA Mostaganem,Cr Temouchent,45,0,45,0,2026-02-06 14:15:07.681559+00:00,2026-02-06 14:59:24.691277+00:00,,,2026-02-06 14:59:24.691277+00:00,59.41152128333333,False,False,False,FAIL
1.253655855,35232931,2026-02-06T19:00:00+00:00,Aston Villa U21,Newcastle U21,30,0,30,0,2026-02-06 19:30:03.993100+00:00,2026-02-06 19:59:14.111101+00:00,,,2026-02-06 19:59:14.111101+00:00,59.23518501666667,False,False,False,FAIL
1.253672244,35234197,2026-02-07T07:00:00+00:00,North District,Wofoo Tai Po,59,0,59,0,2026-02-07 07:00:47.894249+00:00,2026-02-07 07:59:08.086032+00:00,,,2026-02-07 07:59:08.086032+00:00,59.134767200000006,False,False,False,FAIL
1.253678484,35234590,2026-02-07T10:00:00+00:00,Maritimo U23,Gil Vicente U23,56,0,56,0,2026-02-07 10:00:48.157273+00:00,2026-02-07 10:56:06.488599+00:00,,,2026-02-07 10:56:06.488599+00:00,56.10814331666666,False,False,False,FAIL
1.253685159,35214859,2026-02-07T03:00:00+00:00,Mineros de Zacatecas,Club Atletico Morelia,60,0,60,0,2026-02-07 03:00:28.291801+00:00,2026-02-07 03:59:47.422995+00:00,,,2026-02-07 03:59:47.422995+00:00,59.79038325,False,False,False,FAIL
