timestamp,marketId,selectionId,side,price,oldSize,newSize,changePercent
1770137085291,1.253528103,10702893,BACK,1.12,310.31,14.06,95.47
1770137085291,1.253528103,10702893,LAY,1.16,28.29,148.00,423.15
1770137085291,1.253528103,10702893,LAY,1.19,186.13,4.13,97.78
1770137085291,1.253528103,10702893,LAY,1.20,180.41,3.41,98.11
1770137085292,1.253527923,7653237,LAY,1.19,102.07,60.00,41.22
1770137085292,1.253449347,503236,BACK,4.00,28.17,3.29,88.32
1770137085292,1.253449347,503236,LAY,4.50,6.00,9.00,50.00
1770137085292,1.253449347,15740271,BACK,1.95,55.31,7.00,87.34
1770137085292,1.253449347,58805,LAY,3.95,5.00,32.50,550.00
1770137085293,1.253364792,10369569,LAY,5.70,49.00,21.05,57.04
1770137085293,1.253533353,5340649,LAY,29.00,4.38,5.92,35.16
1770137085293,1.253533353,113125,LAY,1.15,166.88,359.24,115.27
1770137085293,1.253530531,58805,BACK,6.20,2.00,37.85,1792.50
1770137085293,1.253530531,21070765,BACK,40.00,0.95,2.00,110.53
1770137085293,1.253530531,21070765,LAY,65.00,27.52,0.56,97.97
1770137085293,1.253566108,58805,BACK,4.00,28.32,4.73,83.30
1770137085293,1.253566108,58805,LAY,4.90,4.00,25.35,533.75
1770137085293,1.253566108,85908106,BACK,4.70,5.00,25.05,401.00
1770137085294,1.253401815,58805,BACK,3.35,5.55,39.36,609.19
1770137085294,1.253401815,58805,BACK,3.20,30.00,68.56,128.53
1770137085294,1.253401815,58805,LAY,3.60,112.07,72.73,35.10
1770137085294,1.253561318,58805,BACK,3.75,5.18,21.01,305.60
1770137085294,1.253294339,6394,BACK,2.22,53.28,148.52,178.75
1770137085294,1.253294339,6394,BACK,2.26,41.00,69.00,68.29
1770137085294,1.253294339,6394,LAY,2.38,205.73,106.69,48.14
1770137085294,1.253294339,6394,LAY,2.36,38.73,114.55,195.77
1770137085294,1.253294339,58805,BACK,3.15,21.03,28.03,33.29
1770137085294,1.253294339,58805,BACK,3.10,41.43,60.35,45.67
1770137085294,1.253294339,58805,LAY,3.25,103.76,197.18,90.03
1770137085294,1.253530789,58805,BACK,3.75,1.00,2.26,126.00
1770137085294,1.253530789,58805,LAY,4.70,3.45,84.70,2355.07
1770137085294,1.253530789,58805,LAY,4.90,3.45,26.39,664.93
1770137085294,1.253530789,58805,LAY,5.00,3.45,29.37,751.30
1770137085294,1.253530789,58805,LAY,4.80,3.45,26.50,668.12
1770137085294,1.253453652,58805,BACK,3.10,16.85,28.00,66.17
1770137085294,1.253453652,58805,BACK,3.05,32.09,10.90,66.03
1770137085298,1.253385969,12157288,BACK,2.96,7.49,15.36,105.07
1770137085298,1.253385969,12157288,LAY,3.05,86.73,118.73,36.90
1770137085298,1.253532776,58805,LAY,3.55,6.00,12.41,106.83
1770137085299,1.253527833,11230155,BACK,1.46,15.00,39.74,164.93
1770137085299,1.253402520,40846946,LAY,3.20,27.83,68.39,145.74
1770137085299,1.253402520,58805,BACK,2.60,531.18,175.91,66.88
1770137085299,1.253402520,58805,BACK,2.52,2.08,181.04,8603.85
1770137085299,1.253536918,5553914,BACK,1.70,1.95,149.21,7551.79
1770137085299,1.253536918,5553914,LAY,1.81,199.92,38.00,80.99
1770137085299,1.253536918,12174602,LAY,14.00,8.37,20.39,143.61
1770137085299,1.253536918,12174602,LAY,15.50,4.00,6.00,50.00
1770137085299,1.253538182,113643,LAY,1.99,147.59,5.42,96.33
1770137085299,1.253538182,113643,LAY,2.04,53.29,204.24,283.26
1770137085299,1.253538182,113643,LAY,2.10,9.89,24.00,142.67
1770137085300,1.253538182,58805,BACK,2.08,13.03,195.55,1400.77
1770137085300,1.253538182,58805,LAY,2.40,175.25,58.25,66.76
1770137085300,1.253538182,62995859,BACK,21.00,31.62,9.60,69.64
1770137085300,1.253498396,7861726,BACK,38.00,5.00,7.00,40.00
1770137085300,1.253498396,7861726,BACK,28.00,5.00,3.00,40.00
1770137085300,1.253498396,58805,BACK,7.60,65.80,43.20,34.35
1770137085300,1.253498396,58805,LAY,9.00,10.62,31.55,197.08
1770137085300,1.253498396,7598561,BACK,1.14,1439.14,642.64,55.35
1770137085300,1.253498396,7598561,LAY,1.17,29.14,379.77,1203.26
1770137085300,1.253498396,7598561,LAY,1.18,374.80,1090.58,190.98
1770137085300,1.253498396,7598561,LAY,1.19,298.16,181.49,39.13
1770137085300,1.253528193,7313728,LAY,3.05,171.63,4.00,97.67
1770137085300,1.253285293,1557297,BACK,14.00,7.06,21.61,206.09
1770137085300,1.253285293,1557297,BACK,13.00,9.81,63.61,548.42
1770137085300,1.253285293,1557297,BACK,11.00,66.79,8.84,86.76
1770137085301,1.253285293,58805,LAY,4.20,43.01,73.58,71.08
1770137085301,1.253285293,58805,LAY,5.10,3.45,25.67,644.06
1770137085301,1.253285293,2487034,BACK,1.45,111.86,181.77,62.50
1770137085301,1.253492664,58805,BACK,3.40,34.09,47.62,39.69
1770137085301,1.253295456,41998,LAY,9.00,8.85,3.70,58.19
1770137085301,1.253295456,58805,LAY,5.30,2.27,0.73,67.84
1770137085301,1.253444193,1165,LAY,1.74,36.42,123.63,239.46
1770137085301,1.253444193,58805,BACK,3.90,72.03,49.17,31.74
1770137085301,1.253448491,2662218,LAY,4.30,52.92,71.10,34.35
1770137085301,1.253436075,28592,LAY,3.20,9.69,6.39,34.06
1770137085301,1.253530940,9170976,LAY,18.00,22.06,2.00,90.93
1770137085301,1.253448779,11434104,LAY,1.77,158.28,42.00,73.46
1770137085301,1.253448779,419129,BACK,4.90,78.37,27.31,65.15
